id	count
937	101
938	101
939	101
940	101
941	101
942	101
943	101
944	101
945	100
946	100
947	100
948	100
949	100
950	100
951	100
952	100
953	100
954	100
955	99
956	98
957	98
958	98
959	98
960	98
961	98
962	97
963	97
964	97
965	97
966	97
967	97
968	96
969	96
970	96
971	96
972	96
973	96
974	96
975	96
976	96
977	96
978	96
979	96
980	96
981	96
982	96
983	95
984	95
985	95
986	95
987	95
988	95
989	95
990	95
991	94
992	94
993	94
994	94
995	94
996	94
997	93
998	93
999	93
1000	93
1001	93
1002	92
1003	92
1004	92
1005	92
1006	92
1007	92
1008	92
1009	92
1010	92
1011	92
1012	92
1013	92
1014	91
1015	91
1016	91
1017	91
1018	91
1019	91
1020	91
1021	91
1022	91
1023	91
1024	91
1025	90
1026	90
1027	90
1028	90
1029	90
1030	90
1031	89
1032	89
1033	89
1034	89
1035	88
1036	88
1037	88
1038	88
1039	88
1040	88
1041	88
1042	88
1043	87
1044	87
1045	87
1046	87
1047	87
1048	87
1049	87
1050	87
1051	87
1052	87
1053	87
1054	87
1055	86
1056	86
1057	86
1058	86
1059	86
1060	86
1061	86
1062	86
1063	85
1064	85
1065	85
1066	85
1067	85
1068	85
1069	85
1070	85
1071	84
1072	84
1073	84
1074	84
1075	83
1076	83
1077	83
1078	83
1079	83
1080	83
1081	83
1082	83
1083	83
1084	83
1085	83
1086	83
1087	82
1088	82
1089	82
1090	82
1091	82
1092	82
1093	82
1094	82
1095	82
1096	81
1097	81
1098	81
1099	81
1100	81
1101	81
1102	81
1103	81
1104	81
1105	81
1106	80
1107	80
1108	80
1109	80
1110	80
1111	80
1112	80
1113	80
1114	80
1115	80
1116	80
1117	79
1118	79
1119	79
1120	79
1121	79
1122	79
1123	79
1124	79
1125	79
1126	78
1127	78
1128	78
1129	78
1130	78
1131	78
1132	78
1133	78
1134	77
1135	77
1136	77
1137	77
1138	77
1139	77
1140	77
1141	77
1142	77
1143	77
1144	77
1145	76
1146	76
1147	76
1148	76
1149	76
1150	76
1151	76
1152	76
1153	76
1154	76
1155	75
1156	75
1157	75
1158	75
1159	75
1160	75
1161	75
1162	75
1163	75
1164	74
1165	74
1166	74
1167	74
1168	74
1169	74
1170	74
1171	74
1172	74
1173	74
1174	74
1175	74
1176	74
1177	74
1178	74
1179	73
1180	73
1181	73
1182	73
1183	73
1184	73
1185	73
1186	73
1187	73
1188	72
1189	72
1190	72
1191	72
1192	72
1193	71
1194	71
1195	71
1196	71
1197	71
1198	71
1199	71
1200	71
1201	70
1202	70
1203	70
1204	70
1205	70
1206	70
1207	70
1208	70
1209	70
1210	70
1211	70
1212	70
1213	70
1214	69
1215	69
1216	69
1217	69
1218	69
1219	69
1220	69
1221	69
1222	69
1223	69
1224	69
1225	69
1226	69
1227	69
1228	69
1229	69
1230	69
1231	69
1232	69
1233	68
1234	68
1235	68
1236	68
1237	68
1238	68
1239	68
1240	68
1241	68
1242	68
1243	68
1244	68
1245	68
1246	67
1247	67
1248	67
1249	67
1250	67
1251	67
1252	67
1253	67
1254	67
1255	67
1256	67
1257	67
1258	67
1259	66
1260	66
1261	66
1262	66
1263	66
1264	66
1265	66
